01_MainLobby_001#0,"""Whiwe Pwemium is active, you can howd up to 40 Cwient Owdews."""
01_MainLobby_002#0,"""There is a higher chance for adding an ability to succeed<br>when more of the same abilities are combined."""
01_MainLobby_003#0,"""Using the [Quest Info] window, you can view what drops in the current<br>quest, along with enemies that appear in the quest."""
01_MainLobby_004#0,"""When you equip a Mag, the strength and stats<br>of the Mag will be added to your stats."""
01_MainLobby_005#0,"""When you give an item to youw Mag, it can waise its wevew."""
01_MainLobby_006#0,"""Feeding youw Mag wiww wecuvw its enewgy."""
01_MainLobby_007#0,"""When youw Mag wevews up enough, it wiww evowve into a mowe powewfuw Mag."""
01_MainLobby_008#0,"""When you receive a title at the [Title counter],<br>you can also earn items."""
01_MainLobby_009#0,"""At the Cwass Countew, you can change cwasses and weawn skiwws."""
01_MainLobby_010#0,"""Many weapons have associated Gear skills.<br>Each one has different beneficial effects."""
01_MainLobby_011#0,"""If you try to join a party but find that it's full,<br>see if there is another party in the same area.<br>That way, you can still play with them!"""
01_MainLobby_012#0,"""When you select [Participate as Another Party] in the quest counter,<br>both parties can play together in Multi-Party Areas."""
01_MainLobby_013#0,"""Some Cwient Owdews awe wepeatabwe."""
01_MainLobby_014#0,"""Cweawing cewtain Cwient Owdews may give you access to mowe aweas and/ow abiwities."""
01_MainLobby_015#0,"""You can send someone a Good Job fwom the [Neawby Chawactews] option in the menu."""
01_MainLobby_016#0,"""You can eawn FUN fow the FUN scwatch by weceiving a Good Job."""
01_MainLobby_017#0,"""In [Communication Histowy], you can see wecent Good Job and theiw comments."""
01_MainLobby_018#0,"""In [Communication Histowy], you can see the pwayews you've wecentwy pwayed with."""
01_MainLobby_019#0,"""In [Character Info], you can see your current status and effects,<br>along with how long they will last."""
01_MainLobby_020#0,"""Wogging in on consecutive days wiww eawn you mowe FUN points."""
01_MainLobby_021#0,"""Using [Neawby Chawactews], you can invite peopwe to youw pawty, ow even befwiend them."""
01_MainLobby_022#0,"""By sewecting [My Data] and then [Edit Titwe / AWKS Cawd], you can edit youw infowmation."""
01_MainLobby_023#0,"""By sewecting [Imitate], you can copy the wobby action of the chawactew you'we cwosest to."""
01_MainLobby_024#0,"""The highew wawity an item has, the wowew it's chances to successfuw gwind."""
01_MainLobby_025#0,"""You can use NetCafe Pwemium by wogging on fwom a cewtified intewnet cafe."""
01_MainLobby_026#0,"""You wiww eawn NetCafe Points by pwaying fwom an authowized intewnet cafe, depending on youw pway time."""
